1,-0.4098072648048401
2,-0.4513431191444397
3,-0.4829593300819397
4,-0.3577590882778168
5,-0.38171258568763733
6,-0.5310412645339966
7,-0.4452660083770752
8,-0.4113914370536804
9,-0.3655274212360382
10,-0.3358418047428131
11,-0.6329736709594727
12,-0.3781247138977051
13,-0.39471861720085144
14,-0.3697488009929657
15,-0.4142863154411316
16,-0.3443589508533478
17,-0.40473729372024536
18,-0.4391835629940033
19,-0.35471630096435547
20,-0.3488185703754425
21,-0.5877843499183655
22,-0.3470165729522705
23,-0.36383873224258423
24,-0.37794673442840576
25,-0.3797348439693451
26,-0.39025577902793884
27,-0.3736133277416229
28,-0.36138099431991577
29,-0.3557163178920746
30,-0.3686722218990326
31,-0.3560023605823517
32,-0.6167119145393372
33,-0.37174734473228455
34,-0.40739983320236206
35,-0.34058332443237305
