No,Nose,Mid shoulder,Left Hand,Right Hand,Eyes,Minimum Distance
30,4819.54929941435,797.400824072045,1323.29100997716,884.954483904853,999.6,797.400824072045
31,2820.60123861507,307.552363804727,654.312187097801,580.308014980078,999.6,307.552363804727
32,1763.72258636857,188.742872868337,510.324594579567,203.135019291892,977.87,188.742872868337
33,2125.81040947801,224.621365332689,732.699764078563,227.899146335058,977.87,224.621365332689
34,3613.51617794732,402.856110526785,838.3374901524,664.085817013548,977.87,402.856110526785
35,2099.0173375186,264.196844906014,822.353726037465,404.085330238082,977.639,264.196844906014
36,2436.87654346793,211.150453795408,681.475157447536,506.60331098472,977.639,211.150453795408
37,9372.81280686637,1366.03655901009,2264.97099706201,2248.64163931715,977.87,977.87
38,2288.52813220057,365.52444721739,1009.61873397446,324.283804498912,957.064,324.283804498912
39,2232.03425739083,255.229298026935,556.734190013218,396.346730652154,957.064,255.229298026935
40,4480.16450723339,659.138510103831,1020.26062714091,819.452041090927,957.064,659.138510103831
41,1478.19444409746,279.797264881988,561.352661643825,326.488544301216,977.639,279.797264881988
42,3003.52861196112,383.35527014069,981.914953681382,467.343123346353,956.847,383.35527014069
43,2382.56572929757,416.661639935705,773.761101226516,529.519621574339,977.87,416.661639935705
44,3880.63517900096,497.779011644045,783.597990941386,575.264292219438,999.353,497.779011644045
45,2176.3151984934,244.461261336842,796.57827891704,209.663819941491,977.87,209.663819941491
46,2456.32123017462,282.873832570608,756.673365380182,359.937337732157,977.639,282.873832570608
47,2608.30245585713,399.480303717465,916.569428279089,495.318259112701,977.639,399.480303717465
48,2614.47660303444,297.077097317995,847.216145137998,352.11796012795,977.639,297.077097317995
49,2068.95959359214,338.293179603498,982.947852067685,349.885364648821,957.064,338.293179603498
50,5266.54474936991,1239.34683510189,1978.02108249816,1250.66914933266,977.639,977.639
51,1885.03225379551,271.643092857017,557.989149813787,493.582825535762,956.847,271.643092857017
52,4429.127949397,465.88263586055,975.498529270562,566.642347295737,977.639,465.88263586055
53,2132.33823247054,437.247118756846,833.065584842178,488.008661758029,977.87,437.247118756846
54,1978.89184137472,235.587642046332,593.560801463333,265.974477003782,977.639,235.587642046332
55,2673.78968447164,410.341145003954,711.306865080993,525.251406877081,977.639,410.341145003954
56,4017.93733212576,751.273645679568,1401.49281740458,791.729971875966,976.947,751.273645679568
57,3326.01505154328,385.367904345501,945.833831636074,378.817410850925,956.847,378.817410850925
58,2298.31672830637,235.87263059155,425.31343057307,348.577379805513,956.847,235.87263059155
59,4718.78296367334,572.889450700548,1047.09792811042,618.222021140502,957.064,572.889450700548
60,3382.20071247113,570.352844789895,879.66845553804,619.169481721211,956.847,570.352844789895
61,5803.8706091044,1033.23787517422,1633.45994893925,1165.77607323169,956.847,956.847
62,3716.96172705546,483.278752375572,1040.97143243493,548.75229332069,977.639,483.278752375572
63,2868.55744808865,424.836091934145,817.073142390503,633.481166183457,977.639,424.836091934145
64,2400.12768724837,229.219830164704,605.637570762881,375.652180496111,977.639,229.219830164704
65,4884.53519949805,436.932434440998,781.573992355182,918.619276741205,999.353,436.932434440998
66,2277.73616991756,199.497202693883,514.898754046309,738.195607499527,1021.264,199.497202693883
67,2082.20154475758,154.807510699925,546.408013163774,482.38884291673,1322.428,154.807510699925
68,6420.26987259961,641.111116845742,2046.5397985466,2104.43344743435,1069.788,641.111116845742
69,2948.14138764186,283.9333419507,579.129054565495,631.786211798429,1149.987,283.9333419507
70,2536.74918172608,124.305536224198,679.936673319511,432.833931871746,1069.788,124.305536224198
71,1548.9870348889,147.952357864529,527.602560492343,381.558775505686,956.847,147.952357864529
72,5381.73803159741,804.893302697898,898.412082941236,1026.33376930128,1215.286,804.893302697898
73,6554.27110929587,314.623182718214,16230.7085284499,1513.05353494562,1124.199,314.623182718214
74,3197.38095523921,233.478780720793,12392.2760915189,841.256003320168,1019.95,233.478780720793
75,4841.64792599133,267.979484771712,31829.32758775,393.589167323856,995.674,267.979484771712
76,7620.35299008872,307.759804598156,49176.0344743304,1055.60604475115,995.674,307.759804598156
77,2776.64785118454,64.9256730348253,20796.9872560711,1154.06989774422,1043.556,64.9256730348253
78,3746.58088587019,180.584533901986,19256.501408391,1530.77841021022,1043.556,180.584533901986
79,3803.76910504702,182.679876344843,18686.0450949393,1691.08225872544,1069.788,182.679876344843
80,2477.50184371694,84.7663031659058,16444.5806260116,823.251692697567,1044.963,84.7663031659058
81,1752.1658886874,50.375983198507,2276.50402723223,880.653201136663,1149.987,50.375983198507
82,3872.59129251771,161.550867366452,1037.44345728786,12252.3232462759,1149.987,161.550867366452
83,3123.23202750465,141.680882710858,1413.10850960083,8683.80727580009,1118.969,141.680882710858
84,4134.65320969564,98.2543636161262,1147.84730012387,15379.656211312,1121.4,98.2543636161262
85,2861.48626844021,86.0666846364845,725.839619516053,8152.94938179938,1115.866,86.0666846364845
86,3872.33884304412,125.180876839493,1251.18306918907,10065.1315756516,1094.197,125.180876839493
87,3720.31032131669,196.469901775912,1545.39012014409,8847.46948471766,1091.938,196.469901775912
88,4035.60396794151,285.104381152528,1581.23105069767,8380.91726789744,1094.197,285.104381152528
89,3624.40103406431,79.818049590785,889.596705232395,10402.724290658,1091.938,79.818049590785
90,3352.75726910772,156.034136810562,1095.46093729475,7338.41762180176,1094.197,156.034136810562
91,6082.18474613675,467.695573849175,2637.79147819374,14481.8259960708,1063.49,467.695573849175
92,4935.59734696676,46.1502334229391,12127.8122956137,16415.0820077899,1044.963,46.1502334229391
93,1615.73375360504,143.871632389373,997.592396483077,651.355571854134,998.614,143.871632389373
94,2210.20762851071,38.9783958551318,186.678716936522,706.534823504259,1022.054,38.9783958551318
95,1451.94223824637,181.112067294156,948.730952216408,1924.90323339332,1045.81,181.112067294156
96,1313.27122256038,225.487381896798,1327.31030376609,1373.0221799377,1022.318,225.487381896798
97,1497.68782822836,152.73419346288,201.693983030398,98.7073719355408,1022.054,98.7073719355408
98,1605.47843176597,124.048930580867,942.78705947616,776.063418449601,999.353,124.048930580867
99,2399.92948459865,38.1934316387791,224.392014746498,144.514066131914,998.614,38.1934316387791
100,3529.84853899882,125.95514601617,8827.76549357486,3990.46567396455,997.386,125.95514601617
101,2355.0617000481,90.3693621876571,37.1701296850008,471.508796804254,1015.781,37.1701296850008
102,2237.06287216628,78.6505970524502,33.8975706346837,797.867175678508,1015.781,33.8975706346837
